Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,1,Medium,Female,94,Involved,2,Sales Executive,Highly-Satisfied,Single,5993,19479,8,Y,Yes,11,Satisfied,Low,80,0,8,0,Low,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,1,2,Satisfied,Male,61,Medium,2,Research Scientist,Mid,Married,5130,24907,1,Y,No,23,Highly-Satisfied,Highly-Satisfied,80,1,10,3,Good,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,Highly Satisfied,Male,92,Medium,1,Laboratory Technician,Satisfied,Single,2090,2396,6,Y,Yes,15,Satisfied,Medium,80,0,7,3,Good,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,1,5,Highly Satisfied,Female,56,Involved,1,Research Scientist,Satisfied,Married,2909,23159,1,Y,Yes,11,Satisfied,Satisfied,80,0,8,3,Good,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,1,7,Low,Male,40,Involved,1,Laboratory Technician,Mid,Married,3468,16632,9,Y,No,12,Satisfied,Highly-Satisfied,80,1,6,3,Good,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,1,8,Highly Satisfied,Male,79,Involved,1,Laboratory Technician,Highly-Satisfied,Single,3068,11864,0,Y,No,13,Satisfied,Satisfied,80,0,8,2,Mid,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,1,10,Satisfied,Female,81,Highly-Involved,1,Laboratory Technician,Low,Married,2670,9964,4,Y,Yes,20,Highly-Satisfied,Low,80,3,12,3,Mid,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,1,11,Highly Satisfied,Male,67,Involved,1,Laboratory Technician,Satisfied,Divorced,2693,13335,1,Y,No,22,Highly-Satisfied,Medium,80,1,1,2,Good,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,1,12,Highly Satisfied,Male,44,Medium,3,Manufacturing Director,Satisfied,Single,9526,8787,0,Y,No,21,Highly-Satisfied,Medium,80,0,10,2,Good,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,1,13,Satisfied,Male,94,Involved,2,Healthcare Representative,Satisfied,Married,5237,16577,6,Y,No,13,Satisfied,Medium,80,2,17,3,Mid,7,7,7,7
